name,ratings,num_ratings,processor,ram,os,storage,display,price,org_price,Brand,num_reviews,ram_type,Discount
Apple MacBook Air Core i5 10th Gen - (8 GB/512 GB SSD/Mac OS Catalina) MVH22HN/A,4.5,98.0,Intel Core i5 Processor (10th Gen),8,Mac OS Operating System,512 GB SSD,33.78,111990,122990.0,Apple,7.0,LPDDR4X,8.943816570452883
MSI GF75 Thin Core i7 9th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforc...,,,Intel Core i7 Processor (9th Gen),16,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,,69990,95990.0,MSI,,DDR4,27.08615480779248
MSI GF65 Thin Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 166...,4.6,146.0,Intel Core i7 Processor (9th Gen),16,64 bit Windows 10 Operating System,512 GB SSD,39.62,84990,104990.0,MSI,33.0,DDR4,19.04943327935994
Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,4.0,431.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD,39.62,42990,66190.0,Lenovo,62.0,DDR4,35.05061187490558
HP 15s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15s-du2069TU Thin and Light Laptop,4.1,620.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,1 TB HDD,39.62,37990,39990.0,HP,78.0,DDR4,5.0012503125781445
HP Pavilion x360 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1180TU 2 in 1 Laptop,4.6,21.0,Intel Core i7 Processor (10th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,35.56,77990,92419.0,HP,3.0,DDR4,15.612590484640604
HP Pavilion Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,4.6,119.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,66990,76410.0,HP,21.0,DDR4,12.328229289360031
Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) S145-15IIL Thin and Light Lapto...,4.3,20.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,1 TB HDD,39.62,31990,42490.0,Lenovo,4.0,DDR4,24.71169686985173
MSI GF65 Thin Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce RTX 206...,4.6,254.0,Intel Core i7 Processor (9th Gen),16,64 bit Windows 10 Operating System,512 GB SSD,39.62,89990,114990.0,MSI,62.0,DDR4,21.741020958344205
Asus VivoBook Gaming Core i7 9th Gen - (16 GB + 32 GB Optane/512 GB SSD/Windows 10 Home/4 GB Graphics/...,4.3,252.0,Intel Core i7 Processor (9th Gen),16,64 bit Windows 10 Operating System,512 GB SSD,39.62,72990,94990.0,Asus,51.0,DDR4,23.160332666596485
HP Omen Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 16...,4.6,347.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,39.62,75990,78399.0,HP,72.0,DDR4,3.072743274786668
Lenovo Ideapad Slim APU Dual Core A4 A4-9120E - (4 GB/64 GB EMMC Storage/Windows 10 Home) 1-14AST-05 T...,3.5,826.0,AMD APU Dual Core A4 Processor,4,64 bit Windows 10 Operating System,,35.56,20990,21325.0,Lenovo,120.0,DDR4,1.570926143024619
Dell Inspiron Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Inspiron 5408 Thin and Light Laptop,4.3,4.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,35.56,61990,68142.0,Dell,0.0,DDR4,9.02820580552376
Asus EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) E203NA-FD164T Thin and L...,4.3,4.0,Intel Celeron Dual Core Processor,4,64 bit Windows 10 Operating System,,29.46,16990,21730.0,Asus,1.0,DDR3,21.813161527841693
Apple MacBook Air Core i5 10th Gen - (8 GB/512 GB SSD/Mac OS Catalina) MVH42HN/A,4.5,98.0,Intel Core i5 Processor (10th Gen),8,Mac OS Operating System,512 GB SSD,33.78,109990,122990.0,Apple,7.0,LPDDR4X,10.569965037807952
Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,4.8,55.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,55990,79690.0,Lenovo,6.0,DDR4,29.740243443342955
MSI GL65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,4.6,62.0,Intel Core i7 Processor (10th Gen),16,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,,109990,153990.0,MSI,12.0,DDR4,28.573283979479186
Asus ROG Strix G15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,4.6,162.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB SSD,39.62,79990,107990.0,Asus,32.0,DDR4,25.928326696916383
Dell G5 15 SE Ryzen 7 Octa Core 4800H - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/AMD Radeon RX ...,4.5,8.0,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 10 Operating System,512 GB SSD,39.62,89990,99067.0,Dell,0.0,DDR4,9.16248599432707
MSI GP65 Leopard Core i7 10th Gen - (32 GB/1 TB HDD/512 GB SSD/Windows 10 Home/8 GB Graphics/NVIDIA Ge...,4.4,41.0,Intel Core i7 Processor (10th Gen),32,64 bit Windows 10 Operating System,1 TB HDD|512 GB SSD,39.62,149990,173990.0,MSI,9.0,DDR4,13.793896200931089
MSI Alpha 15 Ryzen 7 Quad Core 3750H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Ra...,4.7,60.0,AMD Ryzen 7 Quad Core Processor,16,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,,69990,89990.0,MSI,9.0,DDR4,22.2246916324036
Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,4.3,201.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,1 TB HDD,39.62,51990,74090.0,Lenovo,33.0,DDR4,29.828586853826426
HP 15s Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15s-du1079TX Thin and Light La...,,,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD,39.62,56990,64234.0,HP,,DDR4,11.27751658000436
HP Pavilion x360 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) 14-dh0150TU 2 in 1 Laptop,4.3,152.0,Intel Core i5 Processor (8th Gen),8,64 bit Windows 10 Operating System,1 TB HDD,35.56,61990,63879.0,HP,19.0,DDR4,2.9571533680865385
Lenovo ThinkPad E14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) E14 Thin and Light Laptop,4.0,5.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,256 GB SSD,35.56,39990,49166.0,Lenovo,0.0,DDR4,18.66330390920555
Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,4.0,431.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD,39.62,42990,66190.0,Lenovo,62.0,DDR4,35.05061187490558
Lenovo Ideapad S340 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) S340-14IIL Thin and Light Lap...,3.9,12.0,Intel Core i3 Processor (10th Gen),8,64 bit Windows 10 Operating System,256 GB SSD,35.56,39990,59390.0,Lenovo,1.0,DDR4,32.66543189089072
Lenovo Ideapad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,4.3,213.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,62990,102090.0,Lenovo,30.0,DDR4,38.29953962190225
Dell G5 15 SE Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/AMD Radeon RX 5...,4.3,60.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,39.62,74990,83751.0,Dell,21.0,DDR4,10.460770617664267
Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S340-1...,4.1,60.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,59990,71407.0,Lenovo,8.0,DDR4,15.988628565826879
Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) S145-15IIL Thin and Light Lapto...,4.3,20.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,1 TB HDD,39.62,31990,42490.0,Lenovo,4.0,DDR4,24.71169686985173
Lenovo Ideapad Slim APU Dual Core A4 A4-9120E - (4 GB/64 GB EMMC Storage/Windows 10 Home) 1-14AST-05 T...,3.5,826.0,AMD APU Dual Core A4 Processor,4,64 bit Windows 10 Operating System,,35.56,20990,21325.0,Lenovo,120.0,DDR4,1.570926143024619
Apple MacBook Pro with Touch Bar Core i5 8th Gen - (8 GB/512 GB SSD/Mac OS Catalina) MXK52HN/A,4.9,35.0,Intel Core i5 Processor (8th Gen),8,Mac OS Operating System,512 GB SSD,33.02,132990,142990.0,Apple,5.0,LPDDR3,6.993496048674733
HP Pavilion x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dw0069TU 2 in 1 Laptop,4.7,3.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,35.56,71990,81868.0,HP,0.0,DDR4,12.06576440123125
Apple MacBook Air Core i5 10th Gen - (8 GB/512 GB SSD/Mac OS Catalina) MVH52HN/A,4.5,98.0,Intel Core i5 Processor (10th Gen),8,Mac OS Operating System,512 GB SSD,33.78,109990,122990.0,Apple,7.0,LPDDR4X,10.569965037807952
Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,4.8,56.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,55990,79690.0,Lenovo,6.0,DDR4,29.740243443342955
Asus VivoBook 14 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK585T Thin and Li...,4.6,112.0,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,35.56,54990,55591.0,Asus,36.0,DDR4,1.0811102516594413
Asus VivoBook 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412FA-EK363T Thin and Light Lap...,4.3,3817.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,256 GB SSD,35.56,35990,45990.0,Asus,616.0,DDR4,21.743857360295713
Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Laptop,4.0,124.0,AMD Ryzen 3 Dual Core Processor,4,64 bit Windows 10 Operating System,1 TB HDD,39.62,31990,34490.0,Lenovo,15.0,DDR4,7.2484778196578725
